receivedAt,area,name,mode,scheduled,explicit_forecast,cancelled,trip_update_only,missing,ambiguous,unsupported,explicitPercent
2026-09-06T09:45:48.463688+00:00,saarbruecken,Saarbrücken,tram_metro,8,8,0,0,0,0,0,100.0
2026-09-06T09:45:48.463688+00:00,saarbruecken,Saarbrücken,bus,70,50,0,1,19,0,0,71.4
2026-09-06T09:45:48.463688+00:00,saarbruecken,Saarbrücken,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,saarbruecken,Saarbrücken,regional,12,8,0,4,0,0,0,66.7
2026-09-06T09:45:48.463688+00:00,saarbruecken,Saarbrücken,long_distance,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,saarbruecken,Saarbrücken,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,saarbruecken,Saarbrücken,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,freiburg,Freiburg,tram_metro,41,30,0,10,1,0,0,73.2
2026-09-06T09:45:48.463688+00:00,freiburg,Freiburg,bus,68,42,0,8,18,0,0,61.8
2026-09-06T09:45:48.463688+00:00,freiburg,Freiburg,suburban,7,4,0,3,0,0,0,57.1
2026-09-06T09:45:48.463688+00:00,freiburg,Freiburg,regional,6,2,0,4,0,0,0,33.3
2026-09-06T09:45:48.463688+00:00,freiburg,Freiburg,long_distance,2,1,0,0,1,0,0,50.0
2026-09-06T09:45:48.463688+00:00,freiburg,Freiburg,ferry,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,freiburg,Freiburg,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,rostock,Rostock,tram_metro,23,21,0,2,0,0,0,91.3
2026-09-06T09:45:48.463688+00:00,rostock,Rostock,bus,88,38,0,24,26,0,0,43.2
2026-09-06T09:45:48.463688+00:00,rostock,Rostock,suburban,4,3,0,1,0,0,0,75.0
2026-09-06T09:45:48.463688+00:00,rostock,Rostock,regional,10,7,0,1,2,0,0,70.0
2026-09-06T09:45:48.463688+00:00,rostock,Rostock,long_distance,1,0,0,0,1,0,0,0.0
2026-09-06T09:45:48.463688+00:00,rostock,Rostock,ferry,9,0,0,0,9,0,0,0.0
2026-09-06T09:45:48.463688+00:00,rostock,Rostock,other,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,muenster,Münster,tram_metro,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,muenster,Münster,bus,83,54,0,10,19,0,0,65.1
2026-09-06T09:45:48.463688+00:00,muenster,Münster,suburban,0,0,0,0,0,0,0,
2026-09-06T09:45:48.463688+00:00,muenster,Münster,regional,15,8,0,5,2,0,0,53.3
